time_iso8601,stars_cumulative
2023-08-14 00:00:00+00:00,1
2024-06-11 00:00:00+00:00,2
2024-12-26 00:00:00+00:00,3
2025-02-15 00:00:00+00:00,4
2025-08-06 00:00:00+00:00,5
2026-03-20 00:00:00+00:00,6
