time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-20 00:00:00+00:00,56,23,0,0
2026-04-21 00:00:00+00:00,39,21,0,0
2026-04-22 00:00:00+00:00,92,27,2,2
2026-04-23 00:00:00+00:00,69,24,1,1
2026-04-24 00:00:00+00:00,68,28,0,0
2026-04-25 00:00:00+00:00,40,18,10,1
2026-04-26 00:00:00+00:00,17,7,9,3
2026-04-27 00:00:00+00:00,30,11,25,2
2026-04-28 00:00:00+00:00,14,4,4,1
2026-04-29 00:00:00+00:00,48,13,1,1
2026-04-30 00:00:00+00:00,28,8,0,0
2026-05-01 00:00:00+00:00,42,10,1,1
2026-05-02 00:00:00+00:00,17,7,0,0
2026-05-03 00:00:00+00:00,23,9,0,0
