time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-23 00:00:00+00:00,3,3,,
2025-11-24 00:00:00+00:00,5,5,,
2025-11-25 00:00:00+00:00,2,2,,
2025-11-26 00:00:00+00:00,5,5,,
2025-11-27 00:00:00+00:00,4,4,,
2025-11-28 00:00:00+00:00,3,3,,
2025-11-29 00:00:00+00:00,5,5,,
2025-11-30 00:00:00+00:00,4,4,,
2025-12-01 00:00:00+00:00,44,12,1.0,1.0
2025-12-02 00:00:00+00:00,25,8,7.0,5.0
2025-12-03 00:00:00+00:00,83,19,,
2025-12-04 00:00:00+00:00,3,3,4.0,1.0
2025-12-05 00:00:00+00:00,3,3,,
2025-12-06 00:00:00+00:00,1,1,,
