time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-22 00:00:00+00:00,1,1,9,2
2026-07-23 00:00:00+00:00,2,2,2,1
2026-07-24 00:00:00+00:00,13,4,3,1
2026-07-25 00:00:00+00:00,9,4,0,0
2026-07-26 00:00:00+00:00,8,4,1,1
2026-07-27 00:00:00+00:00,22,8,18,5
2026-07-28 00:00:00+00:00,9,4,2,1
2026-07-29 00:00:00+00:00,10,5,2,1
2026-07-30 00:00:00+00:00,23,10,5,2
2026-07-31 00:00:00+00:00,13,4,0,0
2026-08-01 00:00:00+00:00,10,5,0,0
2026-08-02 00:00:00+00:00,17,9,1,1
2026-08-03 00:00:00+00:00,9,6,2,2
2026-08-04 00:00:00+00:00,8,3,1,1
