time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-01 00:00:00+00:00,42,10,1,1
2026-05-02 00:00:00+00:00,17,7,0,0
2026-05-03 00:00:00+00:00,23,9,0,0
2026-05-04 00:00:00+00:00,32,9,3,2
2026-05-05 00:00:00+00:00,13,3,1,1
2026-05-06 00:00:00+00:00,17,7,5,1
2026-05-07 00:00:00+00:00,13,7,0,0
2026-05-08 00:00:00+00:00,12,6,0,0
2026-05-09 00:00:00+00:00,16,7,0,0
2026-05-10 00:00:00+00:00,9,4,3,1
2026-05-11 00:00:00+00:00,41,9,13,2
2026-05-12 00:00:00+00:00,29,6,25,5
2026-05-13 00:00:00+00:00,14,3,5,5
2026-05-14 00:00:00+00:00,8,3,0,0
