time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-01 00:00:00+00:00,44,12,1.0,1.0
2025-12-02 00:00:00+00:00,25,8,7.0,5.0
2025-12-03 00:00:00+00:00,83,19,,
2025-12-04 00:00:00+00:00,3,3,4.0,1.0
2025-12-05 00:00:00+00:00,3,3,,
2025-12-06 00:00:00+00:00,8,4,,
2025-12-07 00:00:00+00:00,2,2,1.0,1.0
2025-12-08 00:00:00+00:00,11,7,,
2025-12-09 00:00:00+00:00,7,3,,
2025-12-10 00:00:00+00:00,2,2,,
2025-12-11 00:00:00+00:00,7,3,,
2025-12-12 00:00:00+00:00,8,4,,
2025-12-13 00:00:00+00:00,9,5,,
