time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-20 00:00:00+00:00,1,1,2,1
2026-05-21 00:00:00+00:00,20,6,0,0
2026-05-22 00:00:00+00:00,9,5,0,0
2026-05-23 00:00:00+00:00,23,10,0,0
2026-05-24 00:00:00+00:00,16,6,0,0
2026-05-25 00:00:00+00:00,22,8,10,1
2026-05-26 00:00:00+00:00,9,4,1,1
2026-05-27 00:00:00+00:00,17,8,0,0
2026-05-28 00:00:00+00:00,8,3,0,0
2026-05-29 00:00:00+00:00,10,6,1,1
2026-05-30 00:00:00+00:00,27,9,0,0
2026-05-31 00:00:00+00:00,10,4,0,0
2026-06-01 00:00:00+00:00,11,6,12,1
2026-06-02 00:00:00+00:00,26,8,0,0
