time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-08 00:00:00+00:00,12,6,0,0
2026-05-09 00:00:00+00:00,16,7,0,0
2026-05-10 00:00:00+00:00,9,4,3,1
2026-05-11 00:00:00+00:00,41,9,13,2
2026-05-12 00:00:00+00:00,29,6,25,5
2026-05-13 00:00:00+00:00,14,3,5,5
2026-05-14 00:00:00+00:00,8,3,0,0
2026-05-15 00:00:00+00:00,33,10,1,1
2026-05-16 00:00:00+00:00,31,10,0,0
2026-05-17 00:00:00+00:00,9,4,1,1
2026-05-18 00:00:00+00:00,10,5,2,2
2026-05-19 00:00:00+00:00,27,10,0,0
2026-05-20 00:00:00+00:00,1,1,2,1
2026-05-21 00:00:00+00:00,20,6,0,0
