time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-30 00:00:00+00:00,1,1,,
2025-10-31 00:00:00+00:00,1,1,,
2025-11-01 00:00:00+00:00,8,3,,
2025-11-02 00:00:00+00:00,7,2,1.0,1.0
2025-11-03 00:00:00+00:00,7,2,,
2025-11-04 00:00:00+00:00,5,2,28.0,1.0
2025-11-05 00:00:00+00:00,9,7,24.0,1.0
2025-11-06 00:00:00+00:00,7,4,2.0,2.0
2025-11-07 00:00:00+00:00,19,8,3.0,1.0
2025-11-08 00:00:00+00:00,17,5,,
2025-11-09 00:00:00+00:00,3,2,1.0,1.0
2025-11-10 00:00:00+00:00,2,2,1.0,1.0
2025-11-11 00:00:00+00:00,19,8,,
2025-11-12 00:00:00+00:00,2,2,,
